phase,strategy,seed,epoch,train_loss,train_accuracy,train_samples,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
confirmation,unweighted_ce,87,2,0.18461056945728907,0.9481840033701461,121063,0.15541625033743875,0.9557688416061981,0.6827665980569915,0.6968383546297682,0.9502704551767578
confirmation,unweighted_ce,87,3,0.14978397729563223,0.9571380190479337,121063,0.14228351341100032,0.957763580121997,0.6629104156994909,0.7072984007727522,0.9508079317809199
confirmation,unweighted_ce,87,4,0.13050383997077675,0.9616067667247631,121063,0.13440956753996025,0.9589777687837877,0.7054146391922922,0.7214544079922693,0.9545147184128628
confirmation,inverse_sqrt_sampler,87,1,0.6506910391550272,0.7895806315719914,121063,0.17472576721975,0.9546413807059639,0.7553712191928924,0.7290805465176295,0.95098731634207
confirmation,inverse_sqrt_sampler,87,2,0.35093135013662485,0.8793768533738632,121063,0.3535836234144682,0.907085658119164,0.8415910235924277,0.74527486654312,0.9269988787402911
confirmation,inverse_sqrt_sampler,87,3,0.26579713271549016,0.906544526403608,121063,0.27282834177449233,0.9243155734150501,0.826485300123296,0.736490360015892,0.934888271169159
confirmation,inverse_sqrt_sampler,87,4,0.21067996902806838,0.926492817789085,121063,0.1168885608012146,0.9643548900002891,0.7922674706823192,0.8019524523088228,0.963017671853452
confirmation,inverse_sqrt_ce,87,1,0.7461146472354377,0.9213962977953627,121063,0.22079171693554908,0.9437136827498482,0.6922570540753715,0.6496701947267668,0.941227365756898
confirmation,inverse_sqrt_ce,87,2,0.4412948458639201,0.9446899548169135,121063,0.3037345997995855,0.93891474661039,0.8055435879782683,0.728288695368708,0.9421375281454425
confirmation,inverse_sqrt_ce,87,3,0.37705396063480634,0.9485061496906569,121063,0.13609156334931935,0.9591801335607528,0.7701517386358644,0.7585318042528661,0.956385808397626
confirmation,inverse_sqrt_ce,87,4,0.33060050849610756,0.9529088160709713,121063,0.2741109874451765,0.9143707900899077,0.7965126002191977,0.7048034119224112,0.9266612933593272
confirmation,unweighted_ce,88,1,0.3233098792644083,0.9153911599745587,121063,0.18573744259601296,0.9473562487352202,0.5539814626220264,0.5917266867478878,0.9389191288398817
confirmation,unweighted_ce,88,2,0.17389123330357972,0.9503729463172067,121063,0.15793483896263213,0.9541210141366251,0.6717595601163796,0.6954427059232997,0.9463971117930756
confirmation,unweighted_ce,88,3,0.1427294810506732,0.9588230921090671,121063,0.13830537640473942,0.9586886762452661,0.6805781578860294,0.7196955465078648,0.9520468102765722
confirmation,unweighted_ce,88,4,0.12287312281927569,0.9637709291856307,121063,0.12987237931442008,0.9599895926686133,0.6555059180907343,0.6895812182312807,0.9537589268806734
confirmation,inverse_sqrt_sampler,88,1,0.6246587856552257,0.7962796230062034,121063,0.23823508467851667,0.9431933161805094,0.7647965115688021,0.7032060712919747,0.9434423175807075
confirmation,inverse_sqrt_sampler,88,2,0.3437391726995664,0.8812023491900911,121063,0.13614696772072143,0.9616374201381862,0.7684889111074165,0.7686317907907043,0.9585085362855373
confirmation,inverse_sqrt_sampler,88,3,0.2725809569958028,0.9038764940568134,121063,0.19816903519728996,0.9448122343962302,0.8144488538967614,0.7709340614144821,0.9495709378021446
confirmation,inverse_sqrt_sampler,88,4,0.21533105419845075,0.9245764601901489,121063,0.14148001343219493,0.9562024804139805,0.8199719266772209,0.7956444584189334,0.9578753680650458
confirmation,inverse_sqrt_ce,88,1,0.7012210110573367,0.9247416634314365,121063,0.27740346991155307,0.9296059668699951,0.7373286244389554,0.6770345507078088,0.9322761530306655
confirmation,inverse_sqrt_ce,88,2,0.4276981871210875,0.9456976945887678,121063,0.17657270852840046,0.9585441299760054,0.767402790921706,0.7521660263009307,0.9549561486466037
confirmation,inverse_sqrt_ce,88,3,0.3657783345978895,0.9498029951347645,121063,0.15908654817513795,0.9565493914602065,0.7843876190980796,0.7544585527239,0.9553006773398915
confirmation,inverse_sqrt_ce,88,4,0.32316598128448476,0.9528344746123919,121063,0.1420797496204388,0.9577346708681449,0.7963014269577486,0.7838430132501358,0.9573997760648425
